id,speakers,previous,tokens,tags
1994,UGV-2,ja weil ich stehe vor einer da liegt auch ein Trümmerteil davor,es gab einmal eine Treppe da stand 'n Schild kein Durchgang,2
1995,UGV-2,es gab einmal eine Treppe da stand 'n Schild kein Durchgang,dann bin ich natürlich nicht hochgefahren,2
1996,UGV-2,dann bin ich natürlich nicht hochgefahren,und dann war die andere Treppe war mit so 'nem weißen Geländer abgesperrt hier,2
1997,UGV-2,und dann war die andere Treppe war mit so 'nem weißen Geländer abgesperrt hier,in dem Bereich befinde ich mich,2
1998,UGV-1,in dem Bereich befinde ich mich,ja hab ich verstanden ich guck nochmal,2
1999,TL,ja hab ich verstanden ich guck nochmal,UGV 1 von Teamleader,4
2000,UGV-1,UGV 1 von Teamleader,ich komm',5
2001,TL,ich komm',könnt ihr was erkunden was da in lauter Rauch steht?,3
2002,UGV-1,könnt ihr was erkunden was da in lauter Rauch steht?,ja hab ich da müsstest ein Foto von hab'n,2
2003,TL,ja hab ich da müsstest ein Foto von hab'n,ich gucke,2
2004,TL,ich gucke,dann schick mir mal 'n Foto davon,1
2005,UGV-1,dann schick mir mal 'n Foto davon,Teamleader von UGV 1,4
2006,UGV-1,Teamleader von UGV 1,ich hab 'nen weiteren Kanister gefunden weiß,2
2007,UGV-1,ich hab 'nen weiteren Kanister gefunden weiß,werde jetzt ein Foto davon machen und dir schicken,2
2008,UGV-1,werde jetzt ein Foto davon machen und dir schicken,Tim bist du so 'nen Gang entlang gefahren?,3
2009,UGV-2,Tim bist du so 'nen Gang entlang gefahren?,ja korrekt,7
2010,UGV-1,ja korrekt,Teamleader von UGV 1,4
2011,TL,Teamleader von UGV 1,hört,5
2012,UGV-1,hört,ja der weiße Kanister steht aufrecht,2
2013,UGV-1,ja der weiße Kanister steht aufrecht,scheint verschlossen zu sein ich werd ihn jetzt mal versuchen zu drehen um eventuell 'n Piktogramm darauf zu sehen,2
2014,TL,scheint verschlossen zu sein ich werd ihn jetzt mal versuchen zu drehen um eventuell 'n Piktogramm darauf zu sehen,ja verstanden,2
2015,TL,ja verstanden,UGV 2 wie sieht's bei euch aus? UGV 2 von Teamleader kommen,4
2016,TL,UGV 2 wie sieht's bei euch aus? UGV 2 von Teamleader kommen,UGV 2 von Teamleader kommen,4
2017,UGV-2,UGV 2 von Teamleader kommen,UGV 2 gerufen?,3
2018,TL,UGV 2 gerufen?,ja richtig,7
2019,TL,ja richtig,wie sieht's bei euch aus geht gar nichts mehr oder seid ihr wieder im Spiel?,3
2020,TL,wie sieht's bei euch aus geht gar nichts mehr oder seid ihr wieder im Spiel?,UGV 2 von Teamleader kommen,4
2021,UGV-2,UGV 2 von Teamleader kommen,UGV 2 gerufen?,3
2022,TL,UGV 2 gerufen?,ja richtig,7
2023,UGV-2,ja richtig,ja mein Roboter hier der hat jetzt ne Kette fast verloren,2
2024,TL,ja mein Roboter hier der hat jetzt ne Kette fast verloren,also defekt,2
2025,TL,also defekt,UGV 1 von Teamleader kommen,4
2026,UGV-1,UGV 1 von Teamleader kommen,ja mir ist jetzt gelungen das Gefäß zu bergen beziehungsweise zu drehen,2
2027,UGV-1,ja mir ist jetzt gelungen das Gefäß zu bergen beziehungsweise zu drehen,werd jetzt einmal ne Rundumschau von dem Gefäß machen,2
2028,UGV-1,werd jetzt einmal ne Rundumschau von dem Gefäß machen,ich schick' dir aber erst nochmal 'n Foto,2
2029,UGV-1,ich schick' dir aber erst nochmal 'n Foto,beim wenden des Gefäßes ist ein leichter flüssiger Stoff ausgetreten,2
2030,UGV-1,beim wenden des Gefäßes ist ein leichter flüssiger Stoff ausgetreten,aber nur ein Spritzer,2
2031,UGV-1,aber nur ein Spritzer,keine Gefahr,2
2032,UGV-1,keine Gefahr,Teamleader von UGV 1,4
2033,TL,Teamleader von UGV 1,Teamleader hört,5
2034,UGV-1,Teamleader hört,ja der Kanister wurde jetzt von allen Seiten begutachtet Kanister ist verschlossen keine Gefahr und Piktogramme auf dem Kanister,2
2035,UGV-1,ja der Kanister wurde jetzt von allen Seiten begutachtet Kanister ist verschlossen keine Gefahr und Piktogramme auf dem Kanister,ich beweg' mich weiter fort,2
2036,TL,ich beweg' mich weiter fort,ja verstanden,2
2037,UGV-1,ja verstanden,Teamleader von UGV 1,4
2038,UGV-1,Teamleader von UGV 1,ich versuche jetzt zur UGV 2 zu kommen,2
2039,TL,ich versuche jetzt zur UGV 2 zu kommen,ja verstanden,2
2040,TL,ja verstanden,was ist mit der Drohne? Teamleader kommen,4
2041,UAV,was ist mit der Drohne? Teamleader kommen,die UAV hört,5
2042,TL,die UAV hört,ja UAV wie sieht's aus könnt ihr fliegen?,3
2043,UAV,ja UAV wie sieht's aus könnt ihr fliegen?,ne leider immer noch nicht,0
2044,UAV,ne leider immer noch nicht,es regnet zu sehr,2
2045,TL,es regnet zu sehr,ja verstanden,2
2046,UAV,ja verstanden,Teamleader von UAV kommen,4
2047,UAV,Teamleader von UAV kommen,Teamleader von UAV kommen,4
2048,TL,Teamleader von UAV kommen,hört,5
2049,UAV,hört,wir sind mit der Drohne jetzt in der Luft und werden hinter das Gebäude fliegen,2
2050,TL,wir sind mit der Drohne jetzt in der Luft und werden hinter das Gebäude fliegen,ja verstanden,2
2051,TL,ja verstanden,UAV 1 habt ihr das Ziel erreicht?,3
2052,UGV-1,UAV 1 habt ihr das Ziel erreicht?,also ich hab den UAV 2 getroffen kann da aber mich nicht weiter,2
2053,UGV-1,also ich hab den UAV 2 getroffen kann da aber mich nicht weiter,aber ich seh' jetzt wieder 'ne Rauchentwicklung,2
2054,TL,aber ich seh' jetzt wieder 'ne Rauchentwicklung,ja verstanden,2
2055,TL,ja verstanden,UAV Drohne?,4
2056,UAV,UAV Drohne?,die Drohne hört,5
2057,UAV,die Drohne hört,wir haben auch gerade mal zwei Bilder gemacht,2
2058,UAV,wir haben auch gerade mal zwei Bilder gemacht,die Rauchentwicklung kommt neben dem Hochofen zustande,2
2059,TL,die Rauchentwicklung kommt neben dem Hochofen zustande,UAV Drohne,4
2060,TL,UAV Drohne,kann man von oben vielleicht mir ein Foto schicken?,1
2061,UAV,kann man von oben vielleicht mir ein Foto schicken?,wir haben ein Foto geschickt,7
2062,UAV,wir haben ein Foto geschickt,wir schalten jetzt mal auf Infrarot um zu gucken ob wir irgendwo eine thermische Entwicklung erkennen können,2
2063,TL,wir schalten jetzt mal auf Infrarot um zu gucken ob wir irgendwo eine thermische Entwicklung erkennen können,ja verstanden,2
2064,UAV,ja verstanden,Teamleader -,4
2065,UGV-1,Teamleader -,UAV 1 von UGV 1,4
2066,UGV-1,UAV 1 von UGV 1,UAV 1 von UGV 1,4
2067,UGV-1,UAV 1 von UGV 1,Drohne von UGV 1,4
2068,UAV,Drohne von UGV 1,die Drohne hört,5
2069,UGV-1,die Drohne hört,kannst du mir nochmal ein bisschen näher beschreiben wo die Rauchentwicklung ist?,3
2070,UAV,kannst du mir nochmal ein bisschen näher beschreiben wo die Rauchentwicklung ist?,ich hab' gerade Schwierigkeiten,2
2071,UAV,ich hab' gerade Schwierigkeiten,weil ich seh' dich auf dem anderen Bild gerade nicht,2
2072,UAV,weil ich seh' dich auf dem anderen Bild gerade nicht,du kannst aber in die Bilderbox gucken da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen,2
2073,UGV-1,du kannst aber in die Bilderbox gucken da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen,Teamleader von UGV 1,4
2074,TL,Teamleader von UGV 1,Teamleader hört,5
2075,UGV-1,Teamleader hört,ja ich komme nicht weiter höher ins Obergeschoss ohne dass ich eine Absperrung durchfahre,2
2076,TL,ja ich komme nicht weiter höher ins Obergeschoss ohne dass ich eine Absperrung durchfahre,ja fahren Sie wieder zurück ins Untergeschoss,1
2077,TL,ja fahren Sie wieder zurück ins Untergeschoss,UGV Drohne von Teamleader kommen,4
2078,UAV,UGV Drohne von Teamleader kommen,UAV hört,5
2079,TL,UAV hört,noch ein Bild schicken und das aber mit einem Schwarz-Weiß-Hintergrund,1
2080,UAV,noch ein Bild schicken und das aber mit einem Schwarz-Weiß-Hintergrund,machen wir dir fertig,7
2081,UGV-1,machen wir dir fertig,Teamleader von UGV 1,4
2082,UGV-1,Teamleader von UGV 1,hast du mittlerweile den blauen Kanister gesehen,3
2083,UGV-1,hast du mittlerweile den blauen Kanister gesehen,weil ich komm da gerade nochmal vorbei,2
2084,UGV-1,weil ich komm da gerade nochmal vorbei,könnt ich ein neues Foto machen,2
2085,TL,könnt ich ein neues Foto machen,ja schick ich jetzt den Angriff dorthin zum Lesen,2
2086,TL,ja schick ich jetzt den Angriff dorthin zum Lesen,aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,7
2087,UAV,aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,Teamleader von UAV,4
2088,UAV,Teamleader von UAV,wir haben ein neues Live-Bild neue Rauchentwicklung in dem hinteren Bereich,2
2089,TL,wir haben ein neues Live-Bild neue Rauchentwicklung in dem hinteren Bereich,ja verstanden,2
2090,TL,ja verstanden,schicken Sie mir das Foto?,1
2091,UAV,schicken Sie mir das Foto?,schon da,7
2092,TL,schon da,UAV Drohne,4
2093,UAV,UAV Drohne,UAV hört,5
2094,UAV,UAV hört,aber ich hab nochmal ein Bild hinterher geschickt,2
2095,UAV,aber ich hab nochmal ein Bild hinterher geschickt,die Rauchentwicklung die verringert sich zwischenzeitlich immer wieder,2
2096,UAV,die Rauchentwicklung die verringert sich zwischenzeitlich immer wieder,es ist aber auch sehr schwierig  genaue Bilder zu erkennen,2
2097,UAV,es ist aber auch sehr schwierig  genaue Bilder zu erkennen,aufgrund des Windes weil die Drohne noch sehr stark hin und her schwankt,2
2098,TL,aufgrund des Windes weil die Drohne noch sehr stark hin und her schwankt,ja verstanden,2
2099,UAV,ja verstanden,Teamleader von der UAV Drohne,4
2100,TL,Teamleader von der UAV Drohne,hört,5
2101,UGV-1,hört,wir machen jetzt erst mal noch eine Zwischenlandung für einen Akkuwechsel,2
2102,TL,wir machen jetzt erst mal noch eine Zwischenlandung für einen Akkuwechsel,ja verstanden,2
2103,TL,ja verstanden,UAV 1 von Teamleader kommen,4
2104,UAV,UAV 1 von Teamleader kommen,UAV hört,5
2105,TL,UAV hört,hattest du von dem blauen Kanister noch ein Foto gemacht?,3
2106,UGV-1,hattest du von dem blauen Kanister noch ein Foto gemacht?,ich bin gerade dabei,2
2107,TL,ich bin gerade dabei,verstanden,2
2108,TL,verstanden,Teamleader an alle,4
2109,TL,Teamleader an alle,Übung beendet,2
2110,TL,Übung beendet,alle bitte hier zum Treffpunkt ans Zelt kommen,1
2111,TL,alle bitte hier zum Treffpunkt ans Zelt kommen,Der Radio Check,2
2112,TL,Der Radio Check,UGV-1 für Einsatzleiter,4
2113,UGV-1,UGV-1 für Einsatzleiter,Ja ich kann dich hören,5
2114,TL,Ja ich kann dich hören,UGV-2,4
2115,UGV-2,UGV-2,UGV-2 hört dich auch,5
2116,TL,UGV-2 hört dich auch,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,1
2117,TL,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen,1
2118,TL,Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen,UGV-1 für Einsatzleiter,4
2119,TL,UGV-1 für Einsatzleiter,Bitte mach mir mal ein Foto von deinem Standort kommen,1
2120,TL,Bitte mach mir mal ein Foto von deinem Standort kommen,Ich seh euch gleich am Eingang der Halle,2
2121,UGV-1,Ich seh euch gleich am Eingang der Halle,Okay ja,7
2122,UGV-1,Okay ja,Ich hab dir jetzt ein Foto von meinem Blickfeld geschickt,2
2123,UGV-1,Ich hab dir jetzt ein Foto von meinem Blickfeld geschickt,Es befindet sich schon mal links ein Gefahrgutfass Ölfass,2
2124,UGV-1,Es befindet sich schon mal links ein Gefahrgutfass Ölfass,Dort auch senden?,3
2125,TL,Dort auch senden?,Also sieht so aus als hätte gerade ich gar keine Connection zur Database,2
2126,TL,Also sieht so aus als hätte gerade ich gar keine Connection zur Database,Also beschreibe mir einfach wo du stehst,3
2127,UGV-1,Also beschreibe mir einfach wo du stehst,Ich bestehe an einem Gang am Anfang der Halle Eingang,2
2128,UGV-1,Ich bestehe an einem Gang am Anfang der Halle Eingang,Blickrichtung kann ich dir jetzt nicht sagen,2
2129,UGV-1,Blickrichtung kann ich dir jetzt nicht sagen,Rechts von mir sehe ich den Ölfass,2
2130,UGV-1,Rechts von mir sehe ich den Ölfass,Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass,2
2131,UGV-1,Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass,Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde,2
2132,UGV-1,Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde,Kommen,4
2133,TL,Kommen,Verstanden,7
2134,TL,Verstanden,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,1
2135,TL,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid,1
2136,TL,Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid,Kommen,4
2137,UGV-2,Kommen,UGV-2 hört dich,5
2138,TL,UGV-2 hört dich,Frage kannst du den anderen Roboter sehen?,3
2139,UGV-2,Frage kannst du den anderen Roboter sehen?,Ich seh einen Roboter aber das wird aufgrund der Beschreibung nicht der Roboter sein,0
2140,TL,Ich seh einen Roboter aber das wird aufgrund der Beschreibung nicht der Roboter sein,Verstanden,2
2141,TL,Verstanden,Okay,2
2142,TL,Okay,Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst,1
2143,TL,Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst,Kommen,4
2144,UGV-2,Kommen,Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten,7
2145,TL,Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten,Okay,2
2146,TL,Okay,Einsatzleitung für beide Roboter,4
2147,TL,Einsatzleitung für beide Roboter,Ich habe jetzt wieder Connection zur Datenbank,2
2148,TL,Ich habe jetzt wieder Connection zur Datenbank,Ihr könnt also Fotos schicken,2
2149,TL,Ihr könnt also Fotos schicken,ich sehe auch eure Position live,2
2150,UGV-1,ich sehe auch eure Position live,Ja Teamleader von UGV-1 kommen,4
2151,TL,Ja Teamleader von UGV-1 kommen,Höre,5
2152,UGV-1,Höre,Kannst du denn mein Foto empfangen das ich gerade geteilt habe?,3
2153,TL,Kannst du denn mein Foto empfangen das ich gerade geteilt habe?,Hey ja,7
2154,TL,Hey ja,Ich sehe dass die Fotos geadded wurden ich seh sie noch nicht auf der Karte,2
2155,TL,Ich sehe dass die Fotos geadded wurden ich seh sie noch nicht auf der Karte,Geh einfach weiter vor wir versuchen das Problem hier zu lösen,1
2156,UGV-1,Geh einfach weiter vor wir versuchen das Problem hier zu lösen,Teamleader von UT-1 kommen,4
2157,TL,Teamleader von UT-1 kommen,Höre,5
2158,UGV-1,Höre,Ja ich gehe jetzt rechter Hand,2
2159,TL,Ja ich gehe jetzt rechter Hand,UGV-2 für Einsatzleiter kommen,4
2160,UGV-2,UGV-2 für Einsatzleiter kommen,UGV-2,5
2161,TL,UGV-2,Kannst du mir mal ein Foto von deiner Position machen?,1
2162,UGV-2,Kannst du mir mal ein Foto von deiner Position machen?,Ja ich mach dir mal ein Snapshot,7
2163,UGV-2,Ja ich mach dir mal ein Snapshot,Ist das bei dir angekommen?,3
2164,TL,Ist das bei dir angekommen?,Ja,7
2165,TL,Ja,das braucht mal paar Sekunden,2
2166,UGV-1,das braucht mal paar Sekunden,Ja Teamleader von UGV-1 kommen,4
2167,TL,Ja Teamleader von UGV-1 kommen,Höre,5
2168,UGV-1,Höre,Ja ich werd jetzt rechts abbiegen,2
2169,UGV-1,Ja ich werd jetzt rechts abbiegen,Rechtseitig ein blaues Fass mit ner undefinierten Aufschrift gefunden,2
2170,UGV-1,Rechtseitig ein blaues Fass mit ner undefinierten Aufschrift gefunden,Hab dir ein Foto gemacht geteilt,2
2171,UGV-1,Hab dir ein Foto gemacht geteilt,kommen,4
2172,TL,kommen,Ja,5
2173,TL,Ja,verstanden,2
2174,TL,verstanden,UGV-1,4
2175,TL,UGV-1,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist?,3
2176,TL,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist?,Deine Position auf meiner Karte hat sich kaum geändert,2
2177,UGV-1,Deine Position auf meiner Karte hat sich kaum geändert,Ja ich denke so 5-6 meter weiter bin ich noch nicht gekommen kommen,2
2178,TL,Ja ich denke so 5-6 meter weiter bin ich noch nicht gekommen kommen,Verstanden,2
2179,TL,Verstanden,UGV-2 für Einsatzleiter,4
2180,UGV-2,UGV-2 für Einsatzleiter,UGV-2,5
2181,TL,UGV-2,Hat das mit dem Foto geklappt?,3
2182,TL,Hat das mit dem Foto geklappt?,Bei mir ist nichts angekommen,2
2183,UGV-2,Bei mir ist nichts angekommen,Also bei mir sind zwei Fotos auf der Karte hinterlegt,7
2184,UGV-2,Also bei mir sind zwei Fotos auf der Karte hinterlegt,Die müssten auch ungefähr von meiner Position gekommen sein,2
2185,TL,Die müssten auch ungefähr von meiner Position gekommen sein,UGV-2 ich krieg deine Daten immer noch nicht,2
2186,TL,UGV-2 ich krieg deine Daten immer noch nicht,Kannst du mir mal grob deine Position auf der Karte durchgeben?,1
2187,TL,Kannst du mir mal grob deine Position auf der Karte durchgeben?,Ja okay verstanden,2
2188,UGV-1,Ja okay verstanden,I lost the connection to the TDF,2
2189,UGV-1,I lost the connection to the TDF,Teamleader von UGV-1 kommen,4
2190,TL,Teamleader von UGV-1 kommen,Höre,5
2191,UGV-1,Höre,Ja mein TDS muss neu gestartet werden,2
2192,TL,Ja mein TDS muss neu gestartet werden,Ja verstanden,2
2193,TL,Ja verstanden,Gib mir Bescheid wenn du weiterfährst,1
2194,UGV-2,Gib mir Bescheid wenn du weiterfährst,Teamleader von UGV-2,4
2195,TL,Teamleader von UGV-2,Teamleader,5
2196,UGV-2,Teamleader,Ja also ich hab gerade jetzt hier ein blaues Fass gefunden,2
2197,TL,Ja also ich hab gerade jetzt hier ein blaues Fass gefunden,Ja verstanden,2
2198,TL,Ja verstanden,Wie ist der Zustand des Fasses?,3
2199,UGV-2,Wie ist der Zustand des Fasses?,Steht senkrecht und sieht auf dem ersten Blick heil aus keine Lache oder so was drumherum,2
2200,TL,Steht senkrecht und sieht auf dem ersten Blick heil aus keine Lache oder so was drumherum,Ja verstanden,2
2201,TL,Ja verstanden,Dann Foto machen,1
2202,TL,Dann Foto machen,Und dann weiter vorgehen,1
2203,UGV-1,Und dann weiter vorgehen,Teamleader von UGV-1 kommen,4
2204,TL,Teamleader von UGV-1 kommen,Höre,5
2205,UGV-1,Höre,Ja ich kann hier weiterfahren,2
2206,TL,Ja ich kann hier weiterfahren,Ja verstanden,2
2207,TL,Ja verstanden,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,1
2208,UGV-1,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,Teamleader von UGV-1 kommen,4
2209,TL,Teamleader von UGV-1 kommen,UGV-1 UGV-2 und UAV kommen,4
2210,UAV,UGV-1 UGV-2 und UAV kommen,UAV hört,5
2211,UGV-1,UAV hört,UGV-1 hört,5
2212,UGV-2,UGV-1 hört,UGV-2,5
2213,UAV,UGV-2,UAV,5
2214,TL,UAV,So weiteren Einsatzauftrag erhalten folgende Lage grundsätlich die Lage die selbe wie heute morgen Explosion in diesem länglichen Gebäude unklare Ausdehnung,2
2215,TL,So weiteren Einsatzauftrag erhalten folgende Lage grundsätlich die Lage die selbe wie heute morgen Explosion in diesem länglichen Gebäude unklare Ausdehnung,Jetzt neuer Bericht von Gasgeruch in der Mitte des Gebäudes,2
2216,TL,Jetzt neuer Bericht von Gasgeruch in der Mitte des Gebäudes,Unsereines Auftrag Gasquelle lokalisieren,1
2217,TL,Unsereines Auftrag Gasquelle lokalisieren,Und weiter mappen,1
2218,TL,Und weiter mappen,UAV von Einsatzleiter,4
